source_file,table_name,row_index,record_key,columns,row_json,dedupe_key
insert_jerusalem_refs.sql,knowledge_documents,1,متصرفية القدس أواخر العهد العثماني,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""متصرفية القدس أواخر العهد العثماني"", ""author"": ""عبد العزيز عوض"", ""year"": """", ""category"": ""historical"", ""type"": ""كتاب"", ""url"": ""https://archive.org/details/skrdieh_lau_20160316"", ""content"": ""دراسة تاريخية شاملة لمتصرفية القدس في نهاية العهد العثماني، تغطي الوضع الإداري والاجتماعي والاقتصادي في القدس قبل الانتداب البريطاني. الكتاب متاح للتحميل المجاني على Internet Archive بحجم 32.5 ميجابايت."", ""tags"": ""متصرفية القدس, العهد العثماني, تاريخ فلسطين, القدس"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",5f1a720b89bdd554
insert_jerusalem_refs.sql,knowledge_documents,1,ديار بئر السبع: جنوب فلسطين العثماني - الأرض والمجتمع والدولة,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""ديار بئر السبع: جنوب فلسطين العثماني - الأرض والمجتمع والدولة"", ""author"": ""أحمد أمارة"", ""year"": ""2024"", ""category"": ""law"", ""type"": ""كتاب أكاديمي"", ""url"": ""https://books.google.com/books?id=n_0IEQAAQBAJ"", ""content"": ""دراسة شاملة لقضاء بئر السبع الذي كان جزءاً من متصرفية القدس. يتناول الكتاب تطبيق قانون الأراضي العثماني ونظام القضاء بشأن حقوق ملكية الأراضي، ويشمل تحليلاً لقانون الأراضي، والقانون المدني، وقانون الطابو."", ""tags"": ""بئر السبع, قانون الأراضي العثماني, متصرفية القدس, الطابو"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",22972fd07f3d056a
insert_jerusalem_refs.sql,knowledge_documents,1,حق التصرف الوارد على الأراضي الأميرية وفقاً للتشريعات النافذة في فلسطين,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""حق التصرف الوارد على الأراضي الأميرية وفقاً للتشريعات النافذة في فلسطين"", ""author"": ""أنسام عارف جاسر كراكره"", ""year"": ""2025"", ""category"": ""law"", ""type"": ""رسالة ماجستير"", ""url"": ""https://repository.aaup.edu/handle/123456789/3565"", ""content"": ""دراسة تحليلية مقارنة لحق التصرف الوارد على الأراضي الأميرية، سواء المستمدة من قانون الأراضي العثماني لسنة 1858م، أو القوانين الأردنية المطبقة في الضفة الغربية، أو التشريعات الصادرة عن السلطة الوطنية الفلسطينية."", ""tags"": ""الأراضي الأميرية, قانون الأراضي, فلسطين, دراسة مقارنة"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",1b352a144e3b4863
insert_jerusalem_refs.sql,knowledge_documents,1,النظام القانوني للأراضي الأميرية في فلسطين,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""النظام القانوني للأراضي الأميرية في فلسطين"", ""author"": ""حسين عاهد العيسه"", ""year"": ""2016"", ""category"": ""law"", ""type"": ""رسالة أكاديمية"", ""url"": ""https://fada.birzeit.edu/bitstream/20.500.11889/5695/1/"", ""content"": ""دراسة متخصصة في النوع الثاني من أنواع الأراضي في قانون الأراضي العثماني. تعتبر الأراضي الأميرية الأكثر انتشاراً في الأراضي الفلسطينية عبر المراحل التاريخية المختلفة."", ""tags"": ""الأراضي الأميرية, قانون الأراضي العثماني, فلسطين, جامعة بيرزيت"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",eb81949f12a832e5
insert_jerusalem_refs.sql,knowledge_documents,1,تسوية وتسجيل الأراضي في القدس الشرقية: الإشكاليات، التحديات والإسقاطات,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""تسوية وتسجيل الأراضي في القدس الشرقية: الإشكاليات، التحديات والإسقاطات"", ""author"": ""راسم محيي الدين خمايسي"", ""year"": ""2020"", ""category"": ""law"", ""type"": ""دراسة أكاديمية"", ""url"": ""https://dspace.alquds.edu/handle/20.500.12213/9083"", ""content"": ""دراسة تناقش الوضع المعقد والإشكال القائم بشأن تسوية الأراضي وتسجيلها في القدس الشرقية، وكذلك الآثار والعواقب. تقترح مبادئ وتوجيهات عامة للسياسات والأدوات لتمكين تسوية الأراضي."", ""tags"": ""القدس الشرقية, تسوية الأراضي, تسجيل الأراضي, جامعة القدس"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",3f190eba5be34f62
insert_jerusalem_refs.sql,knowledge_documents,1,"Consequences of the Ottoman land law: Agrarian and privatization processes in Palestine, 1858–1918","[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""Consequences of the Ottoman land law: Agrarian and privatization processes in Palestine, 1858–1918"", ""author"": ""R Kark"", ""year"": ""2017"", ""category"": ""law"", ""type"": ""بحث أكاديمي"", ""url"": ""https://link.springer.com/chapter/10.1007/978-3-319-50998-3_8"", ""content"": ""دراسة تحلل تأثيرات قانون الأراضي العثماني على العمليات الزراعية وعمليات الخصخصة في فلسطين خلال الفترة من 1858 إلى 1918. نشرت في Springer وحصلت على 33 استشهاداً أكاديمياً."", ""tags"": ""Ottoman land law, Palestine, privatization, 1858-1918"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",dea66f77db7907e4
insert_jerusalem_refs.sql,knowledge_documents,1,Land privatization in nineteenth-century Ottoman Palestine,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""Land privatization in nineteenth-century Ottoman Palestine"", ""author"": ""N Solomonovich, R Kark"", ""year"": ""2015"", ""category"": ""law"", ""type"": ""بحث أكاديمي"", ""url"": ""https://brill.com/view/journals/ils/22/3/article-p221_2.xml"", ""content"": ""دراسة منشورة في Islamic Law and Society تحلل عملية خصخصة الأراضي في فلسطين العثمانية في القرن التاسع عشر. استخدمت وثائق ومراسلات القنصلية الألمانية في القدس. حصلت على 22 استشهاداً."", ""tags"": ""land privatization, Ottoman Palestine, Jerusalem, 19th century"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",761cecc41e3d6818
insert_jerusalem_refs.sql,knowledge_documents,1,Land registry maps in Palestine during the Ottoman period,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""Land registry maps in Palestine during the Ottoman period"", ""author"": ""R Kark, H Gerber"", ""year"": ""1984"", ""category"": ""law"", ""type"": ""بحث أكاديمي"", ""url"": ""https://www.tandfonline.com/doi/pdf/10.1179/caj.1984.21.1.30"", ""content"": ""دراسة رائدة منشورة في The Cartographic Journal تتناول خرائط تسجيل الأراضي في فلسطين خلال الفترة العثمانية. تحلل سجلات الأراضي والمجلس الإداري لمنطقة القدس. حصلت على 20 استشهاداً."", ""tags"": ""land registry, Ottoman Palestine, Jerusalem District, cartography"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",f38a0700036312cf
insert_jerusalem_refs.sql,knowledge_documents,1,Mind the Gap: An Archaeological View of Land Tenure and Usufruct Rights Around Jerusalem,"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""Mind the Gap: An Archaeological View of Land Tenure and Usufruct Rights Around Jerusalem"", ""author"": ""O Ze'evi-Berger, N Ben-Melech, B Walker, N Porat"", ""year"": """", ""category"": ""historical"", ""type"": ""بحث أكاديمي"", ""url"": ""https://www.jstor.org/stable/jj.31872240.3"", ""content"": ""دراسة أثرية تتناول حقوق حيازة الأراضي واستخدامها حول القدس في العصرين المملوكي والعثماني. تحلل سجلات الضرائب في سنجق القدس في القرن الثامن عشر."", ""tags"": ""land tenure, Jerusalem, Mamluk, Ottoman, archaeological"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",ec93127203a09523
insert_jerusalem_refs.sql,knowledge_documents,1,قانون الأراضي العثماني (1858),"[""title"", ""author"", ""year"", ""category"", ""type"", ""url"", ""content"", ""tags"", ""createdAt"", ""updatedAt""]","{""title"": ""قانون الأراضي العثماني (1858)"", ""author"": ""الدولة العثمانية"", ""year"": ""1858"", ""category"": ""law"", ""type"": ""قانون"", ""url"": ""https://maqam.najah.edu/legislation/169/"", ""content"": ""القانون الأساسي الذي نظم ملكية الأراضي في الدولة العثمانية. قسّم الأراضي إلى خمسة أقسام: المملوكة، الأميرية، الموقوفة، المتروكة، والموات. ما زال ساري النفاذ في الضفة الغربية وغزة. يحتوي على 15 مادة قانونية تفصيلية."", ""tags"": ""قانون الأراضي, العثماني, 1858, الطابو, فلسطين"", ""createdAt"": ""datetime(now)"", ""updatedAt"": ""datetime(now)""}",88db09ae4d2b674e
